ecotype_id,1348_Resistance_Nc14_combined,1365_telomere_length,1529_dtb.swede.NV,1530_dtb.swede.8W,1531_dtb.swede.12W,1595_GS_cov,1596_GS_fc,161_Germ_10,162_Germ_16,163_Germ_22,164_Width_10,165_Width_16,166_Width_22,167_Chlorosis_10,170_Anthocyanin_10,173_Leaf_serr_10,176_Leaf_roll_10,2052_germ_284_t0,2053_germ_284_t7,2054_germ_284_t21,2056_germ_284_t105,2071_EndoPoly_allMedian,264_Cotol_survival,266_Cotol_damage,314_DTF1stSpAverage2009,315_DTF2ndSpAverage2009,316_DTF1stSwAverage2009,317_DTF2ndSwAverage2009,318_size1stSpAverage2009,319_size2ndSpAverage2009,320_size1stSwAverage2009,321_size2ndSwAverage2009,322_area1stSwAverage2009,323_area2ndSwAverage2009,332_Yield1stSpAverage2009,5_FT10,6_FT16,7_FT22,80_LN10
430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,NA,NA,100,29.4,19.1,1245.36,166.872,8,NA,NA,9.5,NA,NA,1,0,1,0,0,0,0,61.8557,1.15939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,51
997,NA,NA,76.2,26.3,20.6,1255.24,172.621,8,NA,NA,9.5,NA,NA,0,1,1,0,0,0,4.61538,65.9794,1.26505,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,NA,NA,58.6667
1002,NA,NA,94.3,31.5,18.2,1226.58,167.06,8,NA,NA,9.1,NA,NA,0,0,1,1,0,0,0.833333,48.3871,1.2409,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,45.5
1066,NA,NA,NA,37,24.3333,1243.58,NA,9,NA,NA,10.1,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,63
1435,NA,NA,30.7,19.2,17,1009.42,164.127,8,NA,NA,8.6,NA,NA,1,1,1,1,79.7753,88.2353,64.1026,100,1.04726,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,NA,NA,10
5726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5830,0,3018,33.4,26.5,19,1431.38,167.232,6,NA,NA,7.1,NA,NA,0,0,1,0,26.4151,83.4646,47.0588,94.1176,1.36414,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,40.5
5831,0,3172,77.75,29.4444,15.8,1419.12,170.845,5,NA,NA,6.6,NA,NA,0,0,1,0,0,0,0,1.33333,1.34996,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,43.5
5832,0,3327,77.125,NA,18.2,1241.59,169.094,7,4,4,NA,7.2,11,1,1,1,0,0,0,0,9.1954,1.34854,0,1.5,85.5,79.75,78.5,112.25,13.25,13.225,14.825,12.225,18933.5,16246,0.0805,87,100.5,132,NA
5837,0,1859,NA,NA,NA,NA,NA,7,4,2,4.5,8.5,10.5,0,0,0.5,1,NA,NA,NA,NA,1.34072,0,1.5,66.25,55.25,53.75,48.5,10.75,11.15,9.4,11.825,12621,8686,0.3365,57,49.75,42,21
5856,NA,3600,100,26.2,19.3,1570.19,177.917,6,NA,NA,5.2,NA,NA,1,1,1,0,85.7143,90.7407,93.8462,98.0769,1.30769,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.7,NA,NA,48.6667
5867,0,2502,100,34.2,21.6,1259.91,171.055,6,NA,NA,7.1,NA,NA,0,0,1,0,28.7671,43.3333,63.2911,51.5464,1.1307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.5,NA,NA,73.5
6009,0,4157,100,NA,22.5,1383.42,171.626,5,4,4,2.4,7.8,7.7,1,0,0,0,NA,NA,NA,NA,1.34068,0,1.5,93,127,151,162.333,NA,NA,NA,NA,NA,5333.5,NA,98,151.5,270,30.5
6012,0,7252,100,29.3,17.4,1288.6,168.418,6,NA,NA,7.1,NA,NA,1,0,1,1,45.7447,49.0196,78.4615,99.0909,1.35472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,NA,NA,31.5
6013,0,3524,100,25.9,19,1438.45,170.588,6,NA,NA,2.3,NA,NA,1,NA,0,1,7.47664,41.3793,23.75,98,1.43017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.3,NA,NA,16
6016,NA,3226,NA,NA,NA,1563.92,181.605,7,3,2,2.8,6.5,9.5,1,0,0,0,82.4561,94.4444,96.2264,94.6809,1.47354,0,1.5,83.25,83.25,79.5,155,13.425,12.9,15.2,12.4,11165,5394.5,0.089,75,101.5,113,38
6017,0,3795,85.2,25.5,19,1282.91,176.663,6,NA,NA,8.8,NA,NA,1,1,1,0,64.5161,80.3922,75,99,1.11298,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,38
6019,0,2299,100,34.85,25.35,1474.14,165.024,5.5,4,3,8.7,7.5,9,0,1,1,0.5,0,0.900901,5.10204,75,1.23603,0,1.5,101.75,112.25,116.5,154.75,14.3,10.925,14.275,11.35,12143.5,11026.5,NA,103.3,145,250,44
6020,0,2533,93.2941,30.6667,22.2,1508.57,164.778,6,4,3,9,10,12.5,0.5,0.5,1,0.5,0,0,0,0,1.13847,0,1.5,94.5,145.5,109.75,144.25,12.175,NA,14.075,NA,13746.5,12092.5,0.0455,103.8,125.667,220,47.5
6021,0,2255,86.5714,34.8,19.1111,1311.77,160.677,5,NA,NA,7.8,NA,NA,0,1,1,0,76.087,90.3846,96.2264,91.3043,1.14659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,36.5
6023,1,3399,65.4,32.1,19.3333,1272.49,166.199,6,NA,NA,5.5,NA,NA,1,1,1,0,0,0,0,3.8835,1.1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.5,NA,NA,39
6024,1,2552,NA,NA,NA,1355.94,169.642,6,NA,NA,3.7,NA,NA,0,1,0,0,0,0,0,14.1509,1.36525,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,41.5
6025,0,3674,96.4,27.6,17.3,1159.34,165.125,5,NA,NA,6.2,NA,NA,0,0,0,0,100,100,100,100,1.24534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,43.5
6030,NA,7021,100,25.6,13.6,1386.22,168.551,6,NA,NA,8.2,NA,NA,0,0,1,0,96.8254,100,100,100,1.30554,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,39.3333
6034,1,2486,78.7143,35,20.4,1307.28,160.765,6,NA,NA,6.6,NA,NA,0,0,0,1,75.6302,89.7436,94.0171,97.9798,1.18146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5,NA,NA,28.5
6035,0,1230,59,29.6667,20.3,1429.64,167.259,6,NA,NA,6,NA,NA,0,1,1,0,95.5056,95.8333,96.3158,100,1.18303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,21.5
6036,0,NA,62.2,28.8,19.3,1108.48,161.01,6,NA,NA,7.6,NA,NA,0,0,1,0,96,97.7778,100,100,1.2301,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5,NA,NA,24.5
6038,0,NA,43.3333,26.2,19.8,1170.94,160.966,6,NA,NA,8.6,NA,NA,0,0,1,0,92.8571,95.7265,97.0238,100,1.26401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.8,NA,NA,30.5
6039,0,4190,NA,NA,NA,1601.31,167.687,6.5,3,2,4.85,8,15.5,1,0.5,0.75,0,100,100,100,100,1.24057,0,1.5,72.75,51.25,45,33.75,13.575,11.4,7.125,6.925,14291.5,15053.5,0.222,66,43.25,34,24.5
6040,1,3184,NA,NA,NA,1337.96,165.248,7,3,2,1.8,6.2,9.7,0,0,0.5,0,0,0,0,66.25,1.29568,0,1.5,83.5,76,74.6667,84.25,11.8,10.775,12.8,12.1,NA,10104,0.08,71,92.75,87.75,34.5
6041,0,2920,36.7,20.2,15,1186.38,164.024,6,NA,NA,7.2,NA,NA,0,0,1,0,97.1963,100,97.6923,100,1.20997,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,23
6042,NA,3163,NA,NA,NA,1415.29,NA,5,3,2,2,8.5,9,1,0,0.5,0,24.3902,32.0388,86.3636,98,NA,0,1.5,69.25,41.75,31.25,23.5,7.825,4.65,4.425,3.05,15962.5,9295.5,0.275,56,35,28.5,16.5
6043,0,3427,100,30.3,24.1,1466,NA,5,3,2,3.8,7.2,8.5,0,1,0.75,0,87.6543,97.5806,96.7742,100,NA,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,173.667,270,48
6046,0,3334,NA,NA,NA,1446.62,172.899,5,4,2,3.2,7.2,8.6,0,0,0,0,95.5556,97.1831,100,100,1.3905,0,1.5,106.25,170.25,133.75,170.25,10.9,NA,NA,NA,9151,10216,NA,93,149.333,270,42
6064,NA,2978,NA,NA,NA,1288.3,164.329,7,3,2,2.4,6.2,11.2,1,0,0.75,0,66.6667,88.2883,100,99,1.23183,NA,NA,119,170.75,152.5,171,11.775,NA,NA,NA,17086,11593.5,NA,96,201,250,45.5
6069,NA,4968,100,27.5,16.2,1434.9,169.727,6,NA,NA,5,NA,NA,1,0,1,0,71.2871,86.1111,97.7444,100,1.26707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,48
6070,0,3725,99.7,22.2,18.2,1278,171.458,7,NA,NA,3.6,NA,NA,1,0,1,0,NA,NA,NA,NA,1.25629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,28.5
6071,0,2985,99,27.1,19.6,1283.62,172.007,6,NA,NA,3.1,NA,NA,1,0,0,0,16.8675,18,33.3333,97.3684,1.28679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,33.3333
6073,NA,NA,78.1667,23,22.4,1196.17,164.108,6,NA,NA,5.4,NA,NA,0,1,0,0,0,0,0,6.08696,1.05118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.8,NA,NA,40
6074,0,2667,NA,NA,NA,1261.82,169.023,7,3,2,2.5,7.2,15,0,0,0.75,0,2,2.88462,25,95,1.27466,NA,NA,105.5,162,122.25,168.75,13.65,NA,10.55,NA,5520,5603.5,NA,91,97,123,36.6667
6076,0,2306,99.6,30.7895,19.4,1472.2,170.48,6,3,3,9.5,7.3,9.1,0,0.5,1,0,0,5.82524,1,95.6522,1.37862,0,1.5,98.75,124.5,88.25,128,12.45,8.25,12.75,9.9,11647,9429,NA,115,129.667,220,51
